,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
0,0.0,0.35487,0.35493,0.35497,0.35499,0.355
1,0.8267,0.35449,0.35471,0.35488,0.35496,0.35499
2,1.6534,0.3541,0.35449,0.3548,0.35492,0.35498
3,2.4801,0.35372,0.35427,0.35471,0.35489,0.35498
4,3.3064,0.35333,0.35405,0.35462,0.35486,0.35497
5,4.1334,0.35294,0.35383,0.35453,0.35483,0.35496
6,4.9604,0.35255,0.3536,0.35444,0.35479,0.35495
7,5.7874,0.35214,0.35335,0.35434,0.35475,0.35494
8,6.6134,0.35173,0.3531,0.35423,0.35471,0.35493
9,7.4404,0.35132,0.35286,0.35412,0.35467,0.35492
10,8.2674,0.35091,0.35261,0.35402,0.35463,0.35492
11,9.0944,0.3505,0.35236,0.35391,0.35458,0.35491
12,9.9204,0.35008,0.35211,0.35381,0.35454,0.3549
13,10.7474,0.34967,0.35186,0.3537,0.3545,0.35489
14,11.5744,0.34926,0.35162,0.35359,0.35446,0.35488
15,12.4004,0.34886,0.35138,0.3535,0.35442,0.35487
16,13.2274,0.34846,0.35114,0.3534,0.35439,0.35486
17,14.0544,0.34806,0.35091,0.3533,0.35435,0.35485
18,14.8814,0.34766,0.35067,0.3532,0.35431,0.35484
19,15.7074,0.34726,0.35044,0.3531,0.35427,0.35483
20,16.5344,0.34686,0.3502,0.35301,0.35424,0.35483
21,17.3614,0.34646,0.34996,0.35291,0.3542,0.35482
22,18.1884,0.34606,0.34973,0.35281,0.35416,0.35481
23,19.0144,0.34566,0.34949,0.35271,0.35412,0.3548
24,19.8414,0.34526,0.34925,0.35261,0.35408,0.35479
25,20.6684,0.34486,0.34902,0.35251,0.35405,0.35478
26,21.4954,0.34446,0.34878,0.35242,0.35401,0.35477
27,22.3214,0.34405,0.34853,0.35231,0.35397,0.35476
28,23.1484,0.34364,0.34827,0.35219,0.35392,0.35475
29,23.9754,0.34323,0.34801,0.35208,0.35388,0.35474
30,24.8014,0.34282,0.34775,0.35197,0.35383,0.35473
31,25.6284,0.34241,0.3475,0.35186,0.35379,0.35472
32,26.4554,0.342,0.34724,0.35174,0.35374,0.35471
33,27.2824,0.34157,0.34695,0.35161,0.35369,0.3547
34,28.1084,0.34112,0.34665,0.35146,0.35363,0.35469
35,28.9354,0.34068,0.34634,0.35132,0.35357,0.35467
36,29.7624,0.34023,0.34604,0.35118,0.35351,0.35466
37,30.5894,0.33979,0.34574,0.35103,0.35346,0.35465
38,31.4154,0.33934,0.34544,0.35089,0.3534,0.35463
39,32.2424,0.3389,0.34514,0.35075,0.35334,0.35462
40,33.0694,0.33845,0.34484,0.3506,0.35328,0.3546
41,33.8954,0.33801,0.34454,0.35046,0.35322,0.35459
42,34.7224,0.33756,0.34423,0.35032,0.35317,0.35458
43,35.5494,0.33712,0.34393,0.35018,0.35311,0.35456
44,36.3764,0.33667,0.34363,0.35003,0.35305,0.35455
45,37.2024,0.33623,0.34333,0.34989,0.35299,0.35454
46,38.0294,0.33579,0.34303,0.34975,0.35293,0.35452
47,38.8564,0.33534,0.34273,0.3496,0.35288,0.35451
48,39.6834,0.3349,0.34243,0.34946,0.35282,0.3545
49,40.5094,0.33445,0.34212,0.34932,0.35276,0.35448
50,41.3364,0.33401,0.34182,0.34917,0.3527,0.35447
51,42.1634,0.33356,0.34152,0.34903,0.35264,0.35446
52,42.9894,0.33312,0.34122,0.34889,0.35259,0.35444
53,43.8164,0.33267,0.34092,0.34875,0.35253,0.35443
54,44.6434,0.33223,0.34062,0.3486,0.35247,0.35442
55,45.4704,0.33178,0.34032,0.34846,0.35241,0.3544
56,46.2964,0.33133,0.34003,0.34833,0.35236,0.35439
57,47.1234,0.33088,0.33974,0.34819,0.3523,0.35438
58,47.9504,0.33043,0.33944,0.34805,0.35225,0.35436
59,48.7774,0.32996,0.33912,0.34789,0.35218,0.35435
60,49.6034,0.32948,0.33877,0.34772,0.35211,0.35433
61,50.4304,0.32899,0.33843,0.34754,0.35204,0.35431
62,51.2574,0.32852,0.33808,0.34737,0.35196,0.3543
63,52.0844,0.32806,0.33773,0.34719,0.35189,0.35428
64,52.9104,0.32759,0.33739,0.34701,0.35181,0.35426
65,53.7374,0.32713,0.33704,0.34683,0.35174,0.35424
66,54.5644,0.32667,0.33669,0.34665,0.35166,0.35422
67,55.3904,0.3262,0.33634,0.34647,0.35158,0.35421
68,56.2174,0.32574,0.336,0.34629,0.35151,0.35419
69,57.0444,0.32527,0.33565,0.34611,0.35143,0.35417
70,57.8714,0.3248,0.3353,0.34593,0.35136,0.35415
71,58.6974,0.32434,0.33496,0.34575,0.35128,0.35414
72,59.5244,0.32387,0.33461,0.34557,0.35121,0.35412
73,60.3514,0.32341,0.33427,0.34539,0.35113,0.3541
74,61.1784,0.32295,0.33391,0.34521,0.35106,0.35408
75,62.0044,0.32248,0.33354,0.34501,0.35097,0.35406
76,62.8314,0.32199,0.33316,0.3448,0.35088,0.35404
77,63.6584,0.3215,0.33279,0.34459,0.35079,0.35402
78,64.4844,0.32102,0.33242,0.34439,0.35071,0.354
79,65.3114,0.32054,0.33204,0.34419,0.35062,0.35398
80,66.1384,0.32006,0.33167,0.34399,0.35054,0.35396
81,66.9654,0.31958,0.3313,0.34379,0.35045,0.35394
