Distance,FeMg_1yr,FeMg_2yr,FeMg_5yr,FeMg_10yr,FeMg_20yr
0,0.3529,0.35493,0.35497,0.35499,0.355
0.8267,0.35194,0.35471,0.35488,0.35496,0.35499
1.6534,0.351,0.35449,0.3548,0.35492,0.35498
2.4801,0.35005,0.35427,0.35471,0.35489,0.35498
3.3064,0.3491,0.35405,0.35462,0.35486,0.35497
4.1334,0.34815,0.35383,0.35453,0.35483,0.35496
4.9604,0.3472,0.3536,0.35444,0.35479,0.35495
5.7874,0.34625,0.35335,0.35434,0.35475,0.35494
6.6134,0.3453,0.3531,0.35423,0.35471,0.35493
7.4404,0.34435,0.35286,0.35412,0.35467,0.35492
8.2674,0.3434,0.35261,0.35402,0.35463,0.35492
9.0944,0.34245,0.35236,0.35391,0.35458,0.35491
9.9204,0.3415,0.35211,0.35381,0.35454,0.3549
10.7474,0.34055,0.35186,0.3537,0.3545,0.35489
11.5744,0.33958,0.35162,0.35359,0.35446,0.35488
12.4004,0.33862,0.35138,0.3535,0.35442,0.35487
13.2274,0.33766,0.35114,0.3534,0.35439,0.35486
14.0544,0.33669,0.35091,0.3533,0.35435,0.35485
14.8814,0.33573,0.35067,0.3532,0.35431,0.35484
15.7074,0.33477,0.35044,0.3531,0.35427,0.35483
16.5344,0.3338,0.3502,0.35301,0.35424,0.35483
17.3614,0.33284,0.34996,0.35291,0.3542,0.35482
18.1884,0.33188,0.34973,0.35281,0.35416,0.35481
19.0144,0.33091,0.34949,0.35271,0.35412,0.3548
19.8414,0.32995,0.34925,0.35261,0.35408,0.35479
20.6684,0.32899,0.34902,0.35251,0.35405,0.35478
21.4954,0.32803,0.34878,0.35242,0.35401,0.35477
22.3214,0.32714,0.34853,0.35231,0.35397,0.35476
23.1484,0.32627,0.34827,0.35219,0.35392,0.35475
23.9754,0.32541,0.34801,0.35208,0.35388,0.35474
24.8014,0.32455,0.34775,0.35197,0.35383,0.35473
25.6284,0.32371,0.3475,0.35186,0.35379,0.35472
26.4554,0.32287,0.34724,0.35174,0.35374,0.35471
27.2824,0.32205,0.34695,0.35161,0.35369,0.3547
28.1084,0.32125,0.34665,0.35146,0.35363,0.35469
28.9354,0.32044,0.34634,0.35132,0.35357,0.35467
29.7624,0.31964,0.34604,0.35118,0.35351,0.35466
30.5894,0.31883,0.34574,0.35103,0.35346,0.35465
31.4154,0.31803,0.34544,0.35089,0.3534,0.35463
32.2424,0.31722,0.34514,0.35075,0.35334,0.35462
33.0694,0.31642,0.34484,0.3506,0.35328,0.3546
33.8954,0.31561,0.34454,0.35046,0.35322,0.35459
34.7224,0.3148,0.34423,0.35032,0.35317,0.35458
35.5494,0.314,0.34393,0.35018,0.35311,0.35456
36.3764,0.31319,0.34363,0.35003,0.35305,0.35455
37.2024,0.31239,0.34333,0.34989,0.35299,0.35454
38.0294,0.31158,0.34303,0.34975,0.35293,0.35452
38.8564,0.31078,0.34273,0.3496,0.35288,0.35451
39.6834,0.30997,0.34243,0.34946,0.35282,0.3545
40.5094,0.30917,0.34212,0.34932,0.35276,0.35448
41.3364,0.30843,0.34182,0.34917,0.3527,0.35447
42.1634,0.30772,0.34152,0.34903,0.35264,0.35446
42.9894,0.30702,0.34122,0.34889,0.35259,0.35444
43.8164,0.30636,0.34092,0.34875,0.35253,0.35443
44.6434,0.30572,0.34062,0.3486,0.35247,0.35442
45.4704,0.30507,0.34032,0.34846,0.35241,0.3544
46.2964,0.30443,0.34003,0.34833,0.35236,0.35439
47.1234,0.30379,0.33974,0.34819,0.3523,0.35438
47.9504,0.30314,0.33944,0.34805,0.35225,0.35436
48.7774,0.3025,0.33912,0.34789,0.35218,0.35435
49.6034,0.3019,0.33877,0.34772,0.35211,0.35433
50.4304,0.30131,0.33843,0.34754,0.35204,0.35431
51.2574,0.30071,0.33808,0.34737,0.35196,0.3543
52.0844,0.30012,0.33773,0.34719,0.35189,0.35428
52.9104,0.29953,0.33739,0.34701,0.35181,0.35426
53.7374,0.29892,0.33704,0.34683,0.35174,0.35424
54.5644,0.29832,0.33669,0.34665,0.35166,0.35422
55.3904,0.29772,0.33634,0.34647,0.35158,0.35421
56.2174,0.29711,0.336,0.34629,0.35151,0.35419
57.0444,0.29651,0.33565,0.34611,0.35143,0.35417
57.8714,0.29591,0.3353,0.34593,0.35136,0.35415
58.6974,0.29531,0.33496,0.34575,0.35128,0.35414
59.5244,0.2947,0.33461,0.34557,0.35121,0.35412
60.3514,0.29414,0.33427,0.34539,0.35113,0.3541
61.1784,0.29361,0.33391,0.34521,0.35106,0.35408
62.0044,0.29313,0.33354,0.34501,0.35097,0.35406
62.8314,0.29266,0.33316,0.3448,0.35088,0.35404
63.6584,0.2922,0.33279,0.34459,0.35079,0.35402
64.4844,0.29173,0.33242,0.34439,0.35071,0.354
65.3114,0.29126,0.33204,0.34419,0.35062,0.35398
66.1384,0.2908,0.33167,0.34399,0.35054,0.35396
