"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol1A",0,39.1241345980171,,0.026567,0.066989,14.3460172974092,0.18694,46.3220819774776,0.242603,0.225876,0.016019,100.557227872904,85.1975866254556,0.037286563276155,0.851975866254556,0.000372865632762,1
"Ol1A",4.73056,39.1166326304239,,0.021867,0.064865,14.4906176665715,0.190247,46.0824419343339,0.226997,0.223471,0.009491,100.426630231329,85.0046662596942,0.037645661402735,0.850046662596942,0.000376456614027,1
"Ol1A",9.3829,39.0701415636494,,0.021904,0.066066,14.5332484476761,0.188373,45.873851597777,0.222915,0.220176,0.015202,100.211877609103,84.9091429266829,0.037874962318313,0.849091429266829,0.000378749623183,1
"Ol1A",14.1546,39.0726774400189,,0.023305,0.065651,14.5812460492048,0.183375,45.7822947706623,0.232664,0.220272,0.029041,100.190526259886,84.8411698877079,0.037955408023564,0.848411698877079,0.000379554080236,1
"Ol1A",18.8069,39.1164213073931,,0.024475,0.061066,14.6118267995458,0.185537,45.687055766805,0.226048,0.218138,0.025228,100.155795873744,84.7873651896203,0.038077833621884,0.847873651896203,0.000380778336219,1
"Ol1A",23.5574,39.0904285746055,,0.022365,0.059467,14.5819548745438,0.194284,45.6919321630318,0.221702,0.219083,0.010647,100.091863612181,84.8151170528931,0.03801618702245,0.848151170528931,0.000380161870224,1
"Ol1A",28.3037,39.0401336932768,,0.021823,0.056313,14.5820561353065,0.188328,45.8418067082869,0.225772,0.217885,0.009114,100.18323153687,84.8571554027319,0.037927928188793,0.848571554027319,0.000379279281888,1
"Ol1A",32.9492,39.1360743492569,,0.02181,0.054689,14.5574497699659,0.184389,45.5426547275187,0.220103,0.217937,0.006761,99.9418678467415,84.7946219583276,0.038092691394844,0.847946219583276,0.000380926913948,1
"Ol1A",37.7248,39.1652369275063,,0.02153,0.052458,14.6559764920912,0.198249,45.4988666797682,0.216796,0.2193,0.007869,100.036282099366,84.6949828312465,0.038283468240827,0.846949828312465,0.000382834682408,1
"Ol1A",42.4584,39.1653425890217,,0.021472,0.048934,14.6007893764095,0.182118,45.5798745681066,0.223291,0.216025,0.009326,100.047172533538,84.7668056186836,0.038130225466347,0.847668056186836,0.000381302254663,1
"Ol1A",47.1107,39.0244957889981,,0.020591,0.048102,14.4943643147921,0.186847,45.4783659119577,0.214579,0.220768,0.009875,99.697988015748,84.8323654988938,0.038052590837701,0.848323654988938,0.000380525908377,1
"Ol1A",51.8503,39.0598923966559,,0.026548,0.051467,14.5432732631853,0.184907,45.4888153324436,0.21575,0.217205,0.024207,99.8120649922848,84.79193262126,0.038179973706036,0.8479193262126,0.00038179973706,1
"Ol1A",56.6366,39.0585187969558,,0.02725,0.052053,14.5629178511527,0.186651,45.5250399901281,0.214372,0.218033,0.033545,99.8783806382366,84.7847894710364,0.038198491339642,0.847847894710364,0.000381984913396,1
"Ol1A",61.289,39.1615387744674,,0.026548,0.052261,14.5992704649687,0.182945,45.4847350825396,0.212043,0.219205,0.027236,99.9657823219758,84.7411502822369,0.038269948121275,0.847411502822369,0.000382699481213,1
"Ol1A",66.0286,39.1543537914205,,0.029537,0.053177,14.616788576919,0.18362,45.6663559624138,0.221191,0.222785,0.029447,100.177255330753,84.7771378682669,0.038213303796482,0.847771378682669,0.000382133037965,1
