Nested Sampling Global Log-Evidence           :   -0.215485154633215572E+02  +/-    0.106207691249270667E+00

Dim No.       Mean        Sigma
   1    0.601780210612123390E+00    0.310488248522149790E+00
   2    0.120724590723738197E+04    0.127372191074000334E+02
   3   -0.185848722493955840E+02    0.433492315031090591E+00
   4    0.401897667488732124E+00    0.867210783755430620E-01
   5    0.851940367615904748E+00    0.227106484930871558E-03
   6    0.847978233997032760E+00    0.676328578462430618E-04
   7    0.361890673237190796E+01    0.187452931927659616E+01
   8   -0.684545347730410381E+01    0.752694839536916072E+00
   9    0.221518742289872311E+00    0.243130075857980604E-01
  10   -0.718242158167879463E+01    0.300848258801094337E+00
  11   -0.267141605769727066E+05    0.807162993661120026E+03
  12   -0.503143186846973853E-09    0.411498022288527664E-09
  13   -0.126993646409734128E-06    0.687044882281507394E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.776729781672895636E+00
   2    0.119085860989273078E+04
   3   -0.186921033613389262E+02
   4    0.538936200091612694E+00
   5    0.851918007240934805E+00
   6    0.847968184576323836E+00
   7    0.222428668879146230E+01
   8   -0.554991489803823868E+01
   9    0.221463355017855718E+00
  10   -0.757965938596744149E+01
  11   -0.279680843539701818E+05
  12   -0.589906697176370450E-10
  13   -0.875518216153574943E-06

MAP Parameters
Dim No.        Parameter
   1    0.146652193796169406E+01
   2    0.118303084110493705E+04
   3   -0.182721468439982999E+02
   4    0.436325282402440950E+00
   5    0.851621206758500837E+00
   6    0.847890128068264803E+00
   7    0.171086344837262327E+01
   8   -0.674193782185781565E+01
   9    0.214109535890328884E+00
  10   -0.711069437179379626E+01
  11   -0.272099968193696914E+05
  12    0.579317961611389226E-11
  13   -0.972966292371397642E-06
