Nested Sampling Global Log-Evidence           :   -0.137943942389148742E+02  +/-    0.114648353493623359E+00

Dim No.       Mean        Sigma
   1    0.268841535184698692E+02    0.129186957644102147E+02
   2    0.120752789534702606E+04    0.127596858752232194E+02
   3   -0.186442579679190104E+02    0.409708006209782483E+00
   4    0.393802824744948043E+00    0.875294046978136453E-01
   5    0.850723669792024517E+00    0.163107287499420032E-03
   6    0.843482706961792172E+00    0.322036509695408050E-03
   7    0.273661015845764908E+02    0.104554198511634198E+02
   8   -0.679143324458823994E+01    0.696330287369069323E+00
   9    0.221315966035441958E+00    0.239975653270362091E-01
  10   -0.718314879561737296E+01    0.310445233921484431E+00
  11   -0.267946826225699551E+05    0.768696604946090929E+03
  12   -0.482675779561327355E-09    0.399888867558863643E-09
  13   -0.159797093132451288E-06    0.666408692018423777E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.143343200400649948E+02
   2    0.122168308997304666E+04
   3   -0.187705043775582681E+02
   4    0.381486102795751070E+00
   5    0.850822362170660540E+00
   6    0.843729789088192073E+00
   7    0.334478746735500678E+02
   8   -0.635588756458954496E+01
   9    0.224170899158311343E+00
  10   -0.760742473936318930E+01
  11   -0.267492004439739067E+05
  12   -0.522762521514516126E-09
  13   -0.115843532465087512E-06

MAP Parameters
Dim No.        Parameter
   1    0.143343200400649948E+02
   2    0.122168308997304666E+04
   3   -0.187705043775582681E+02
   4    0.381486102795751070E+00
   5    0.850822362170660540E+00
   6    0.843729789088192073E+00
   7    0.334478746735500678E+02
   8   -0.635588756458954496E+01
   9    0.224170899158311343E+00
  10   -0.760742473936318930E+01
  11   -0.267492004439739067E+05
  12   -0.522762521514516126E-09
  13   -0.115843532465087512E-06
