,XFo
0,0.8510250640715714
1,0.8497616516928005
2,0.8483901567012244
3,0.8468923550538208
4,0.8452263803292706
5,0.8435120001457194
6,0.8418678498960707
7,0.8404401611675026
8,0.8392489844661616
9,0.8383598786475362
10,0.8377509095247695
11,0.8373711853264165
12,0.8371728350677428
13,0.8371183799295173
14,0.8371901843764549
15,0.8374004593583129
16,0.8377813509378106
17,0.8383779210428269
18,0.839193632719085
19,0.8402596042917707
20,0.8415301262603975
21,0.8429248458590198
22,0.8443175632287101
23,0.8455922495065635
24,0.8466468388966861
25,0.8474722477618758
26,0.8480513533243221
27,0.8484160650885639
28,0.848628222665306
29,0.8487388789660045
30,0.8487931638201349
31,0.8488162808146466
32,0.8488223932527188
