Nested Sampling Global Log-Evidence           :   -0.418848823170567144E+02  +/-    0.184487607261330372E+00

Dim No.       Mean        Sigma
   1    0.337704462418603135E+00    0.278951085242108099E+00
   2    0.404406529409531501E+01    0.129855063361410195E+01
   3    0.118468265337321850E+04    0.135284682115497130E+02
   4    0.120489509423203185E+04    0.134230242131794046E+02
   5   -0.186737929697957412E+02    0.469444436526551989E+00
   6    0.402462389507055374E+00    0.934729068092738230E-01
   7    0.848867162256937036E+00    0.167120256009689697E-03
   8    0.836626273896291295E+00    0.263903713855040466E-03
   9    0.850964437705397092E+00    0.280436331841370473E-03
  10    0.119790763378602406E+03    0.916267152843897370E+00
  11    0.317108469249146268E+02    0.918480105714552186E+00
  12   -0.685265029372668621E+01    0.763716449384498230E+00
  13    0.220023612365560617E+00    0.254820683421022876E-01
  14   -0.718341712112594521E+01    0.319995996128146498E+00
  15   -0.267743200152881291E+05    0.832152634588853516E+03
  16   -0.512480619199714590E-09    0.417719242046843026E-09
  17   -0.102659430431446678E-06    0.698124543331286149E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.149686330923179567E+00
   2    0.586395423261318527E+01
   3    0.116143232707728430E+04
   4    0.118822101516808129E+04
   5   -0.186168831605871468E+02
   6    0.454802624848871073E+00
   7    0.848832886429270239E+00
   8    0.836881797685353312E+00
   9    0.851025064071571413E+00
  10    0.120336664536850378E+03
  11    0.315855420837355005E+02
  12   -0.830876548191618980E+01
  13    0.184836608888306608E+00
  14   -0.702180633050820724E+01
  15   -0.261946718406488253E+05
  16    0.208435535408623624E-09
  17   -0.119902326403418750E-05

MAP Parameters
Dim No.        Parameter
   1    0.149686330923179567E+00
   2    0.586395423261318527E+01
   3    0.116143232707728430E+04
   4    0.118822101516808129E+04
   5   -0.186168831605871468E+02
   6    0.454802624848871073E+00
   7    0.848832886429270239E+00
   8    0.836881797685353312E+00
   9    0.851025064071571413E+00
  10    0.120336664536850378E+03
  11    0.315855420837355005E+02
  12   -0.830876548191618980E+01
  13    0.184836608888306608E+00
  14   -0.702180633050820724E+01
  15   -0.261946718406488253E+05
  16    0.208435535408623624E-09
  17   -0.119902326403418750E-05
