"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol5B_main",5.2995,38.9262,,0.018764,0.05989,13.6162,0.178156,46.4321,0.236856,0.304438,0,99.772604,85.8728256360159,0.036179190688117,0.858728256360159,0.000361791906881,1
"Ol5B_main",10.6679,39.013,,0.016238,0.059279,13.3648,0.167081,46.4341,0.224907,0.312034,0,99.591439,86.0979127193618,0.035811441862244,0.860979127193618,0.000358114418622,1
"Ol5B_main",16.0153,39.0678,,0.018532,0.060736,13.2188,0.168817,46.435,0.223243,0.318213,0,99.511141,86.2290981767208,0.035612993430135,0.862290981767208,0.000356129934301,1
"Ol5B_main",21.2309,39.058,,0.01868,0.065641,13.1662,0.174398,46.4382,0.203552,0.323112,0.002568,99.450351,86.2771908717142,0.035566287399114,0.862771908717142,0.000355662873991,1
"Ol5B_main",26.5817,39.044,,0.018255,0.066166,12.9837,0.166744,46.7629,0.205748,0.33014,0.003454,99.581107,86.5230716053332,0.035089690160596,0.865230716053332,0.000350896901606,1
"Ol5B_main",31.9343,39.0544,,0.019525,0.069167,12.9458,0.167974,46.7539,0.20249,0.329828,0.003743,99.546827,86.5548831700455,0.035028723439055,0.865548831700455,0.000350287234391,1
"Ol5B_main",37.2435,39.0799,,0.021986,0.072986,12.9215,0.173052,46.9823,0.201376,0.332786,0.01411,99.799996,86.6332661068473,0.034899646007787,0.866332661068473,0.000348996460078,1
"Ol5B_main",42.5909,39.0793,,0.022641,0.076856,12.7785,0.173968,46.8555,0.19576,0.333698,0.004377,99.5206,86.7305384750242,0.034701867054679,0.867305384750242,0.000347018670547,1
"Ol5B_main",47.9417,39.1775,,0.023548,0.074953,12.8291,0.16642,47.0576,0.198153,0.335745,0.000513,99.863532,86.7345893344137,0.034657548085612,0.867345893344137,0.000346575480856,1
"Ol5B_main",53.2509,39.1264,,0.024588,0.077525,12.8568,0.169695,46.9377,0.193579,0.340256,0,99.726543,86.6803265375856,0.034841817455707,0.866803265375856,0.000348418174557,1
"Ol5B_main",58.5984,39.2408,,0.022288,0.076697,12.8289,0.164478,46.9277,0.188859,0.342518,0,99.79224,86.7029319707464,0.034775560145263,0.867029319707464,0.000347755601453,1
"Ol5B_main",63.9491,39.1728,,0.023782,0.077601,12.7635,0.173748,46.8091,0.189632,0.341262,0,99.551425,86.7326532461221,0.034729418137772,0.867326532461221,0.000347294181378,1
"Ol5B_main",69.1647,39.2116,,0.025981,0.07214,12.7735,0.159663,47,0.192592,0.343347,0.005808,99.784631,86.7704291646126,0.034630932600031,0.867704291646126,0.000346309326,1
"Ol5B_main",74.5121,39.1771,,0.025637,0.07425,12.7172,0.171922,47.0319,0.182368,0.343886,0.004583,99.728846,86.8288161081176,0.034504133533268,0.868288161081176,0.000345041335333,1
