Nested Sampling Global Log-Evidence           :   -0.418724338959656635E+02  +/-    0.167454431865858816E+00

Dim No.       Mean        Sigma
   1    0.108700904932655635E+04    0.233064240198400398E+03
   2    0.206511099576393509E+01    0.781629848507474412E+00
   3    0.122919883411892329E+04    0.107987398037288695E+02
   4    0.121126425123079389E+04    0.125101235794674857E+02
   5   -0.183292532350437725E+02    0.356977055245181973E+00
   6    0.738779976403434069E+00    0.845981785131154768E-01
   7    0.894997696056924030E+00    0.516984508012100332E-04
   8    0.865612453611368848E+00    0.167200054045788080E-03
   9    0.858720815735392051E+00    0.185057388280928081E-03
  10    0.676605926585627628E+02    0.183579780158796098E+02
  11    0.137659108983291070E+02    0.262905012231757862E+01
  12   -0.673751725643893007E+01    0.588319007733671184E+00
  13    0.225351247459974424E+00    0.197123903960025812E-01
  14   -0.716602768983269289E+01    0.258003623666575144E+00
  15   -0.267440025782859011E+05    0.728484765588959931E+03
  16   -0.527478222884656060E-09    0.398972148124349640E-09
  17   -0.944633129223614505E-07    0.665928008229038670E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.952400969167931862E+03
   2    0.951251501414761336E+00
   3    0.121143965749246536E+04
   4    0.121770495130087761E+04
   5   -0.180213243543315365E+02
   6    0.784834935054686267E+00
   7    0.894999675940058581E+00
   8    0.865703500738464027E+00
   9    0.858913089460717205E+00
  10    0.702981749652515049E+02
  11    0.163538952696800841E+02
  12   -0.600390957740845810E+01
  13    0.251400267841946357E+00
  14   -0.747080529873210075E+01
  15   -0.263668637825386722E+05
  16   -0.525518853143551342E-09
  17   -0.189530364354878139E-06

MAP Parameters
Dim No.        Parameter
   1    0.952400969167931862E+03
   2    0.951251501414761336E+00
   3    0.121143965749246536E+04
   4    0.121770495130087761E+04
   5   -0.180213243543315365E+02
   6    0.784834935054686267E+00
   7    0.894999675940058581E+00
   8    0.865703500738464027E+00
   9    0.858913089460717205E+00
  10    0.702981749652515049E+02
  11    0.163538952696800841E+02
  12   -0.600390957740845810E+01
  13    0.251400267841946357E+00
  14   -0.747080529873210075E+01
  15   -0.263668637825386722E+05
  16   -0.525518853143551342E-09
  17   -0.189530364354878139E-06
