Nested Sampling Global Log-Evidence           :   -0.133902370043207561E+02  +/-    0.105540488669530017E+00

Dim No.       Mean        Sigma
   1    0.362959428557332098E+01    0.144704360643718211E+01
   2    0.121035348372483963E+04    0.127901581098383161E+02
   3   -0.183391946231251879E+02    0.433760658569667112E+00
   4    0.748371959484858684E+00    0.867556800419283791E-01
   5    0.859477654766534593E+00    0.265785118970241689E-03
   6    0.866443203156383457E+00    0.882088827653024459E-04
   7    0.433844219355447169E+01    0.199825213512360933E+01
   8   -0.679318380311001313E+01    0.729768281297221377E+00
   9    0.224058923695259149E+00    0.260255102390179911E-01
  10   -0.715717934449906767E+01    0.297037355701795125E+00
  11   -0.267343220738982345E+05    0.814454504236311323E+03
  12   -0.516448257122809211E-09    0.413908470419735409E-09
  13   -0.108715613602980313E-06    0.694710810646143128E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.556872019837106524E+01
   2    0.120546830310934934E+04
   3   -0.184857596890821760E+02
   4    0.871274288790655493E+00
   5    0.859540151961196819E+00
   6    0.866451921151730198E+00
   7    0.390943522752493200E+01
   8   -0.714907075513313117E+01
   9    0.182607747657651559E+00
  10   -0.733435949741332127E+01
  11   -0.275113436199689568E+05
  12   -0.976002548384251283E-09
  13    0.802296040162866819E-06

MAP Parameters
Dim No.        Parameter
   1    0.556872019837106524E+01
   2    0.120546830310934934E+04
   3   -0.184857596890821760E+02
   4    0.871274288790655493E+00
   5    0.859540151961196819E+00
   6    0.866451921151730198E+00
   7    0.390943522752493200E+01
   8   -0.714907075513313117E+01
   9    0.182607747657651559E+00
  10   -0.733435949741332127E+01
  11   -0.275113436199689568E+05
  12   -0.976002548384251283E-09
  13    0.802296040162866819E-06
