,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
0,0.927844186,0.860435465,2.98140795,0,0.128351937,0.128351937,1222.61986,-18.42550348,0.583921889,200736.0295,0.852391092,0.847900627,7.760919532,Ol1A
1,6.969682956,,,0.1,0.129527537,-100,1219.926341,-18.56309195,0.378726828,214421.5859,0.851764012,0.848037578,5.256672348,Ol1A
2,2.672259028,,,0.2,0.130566932,-100,1212.100413,-17.48924793,0.36325214,213315.8222,0.85194472,0.847713756,5.872707004,Ol1A
3,2.021942209,,,0.3,0.131466683,-100,1196.358402,-18.30137694,0.298393234,230535.4206,0.852068621,0.847988947,7.719263517,Ol1A
4,3.854983531,,,0.4,0.132223797,-100,1208.204408,-18.45974989,0.377941441,213238.7793,0.85194893,0.84820173,3.651405142,Ol1A
5,0.509275827,,,0.5,0.132835745,-100,1193.746825,-18.24075695,0.41918143,211897.0327,0.852327003,0.848202189,4.666439956,Ol1A
6,5.168334697,,,0.6,0.133300476,-100,1210.29983,-18.78490028,0.505221517,232933.0216,0.851881441,0.847759234,7.033482733,Ol1A
7,0.510554184,,,0.7,0.133616429,-100,1232.351954,-19.03048233,0.534371048,188294.4665,0.852041194,0.847722304,1.826865404,Ol1A
8,0.142203091,,,0.8,0.133782539,-100,1180.333825,-18.07123682,0.493202986,210879.7864,0.851665255,0.848138904,5.081761431,Ol1A
9,2.155497267,,,0.9,0.133798246,-100,1210.621862,-18.32568111,0.43986243,213540.3928,0.851953449,0.84775966,7.407598273,Ol1A
10,2.073858893,,,1,0.133663497,-100,1204.672153,-18.47771894,0.484821724,220755.7793,0.851964973,0.848026379,0.940303344,Ol1A
11,0.925892615,,,2,0.124384011,-100,1186.381986,-18.82976344,0.35079414,207350.7682,0.851613562,0.848066987,9.171125503,Ol1A
12,1.290365764,,,3,0.103432647,-100,1228.370406,-18.52293389,0.320747898,216607.3593,0.851768519,0.848196331,6.618806298,Ol1A
13,0.358122899,,,4,0.076858529,-100,1196.436742,-18.64459082,0.490829019,192365.049,0.851600733,0.848026691,9.202274032,Ol1A
14,0.454136392,,,5,0.051034968,-100,1206.551646,-19.02540442,0.44134197,198413.4515,0.852047581,0.848083051,7.824715533,Ol1A
15,5.785129204,,,6,0.030282029,-100,1182.853468,-18.41389956,0.505167877,218718.608,0.851745271,0.848046071,8.374304299,Ol1A
16,1.218327204,,,7,0.016056224,-100,1204.182414,-18.56186405,0.54241202,208534.8344,0.852314054,0.848190544,4.197651897,Ol1A
17,0.244316856,,,8,0.007607522,-100,1210.06247,-18.36888389,0.455267423,201536.0724,0.852371229,0.847972687,3.578313927,Ol1A
18,0.992365131,,,9,0.003220953,-100,1198.141447,-18.56658809,0.476998596,210009.8733,0.851876023,0.84815001,2.877581406,Ol1A
19,3.134759781,,,10,0.001218616,-100,1200.66821,-18.67854802,0.540063316,215193.6007,0.851955732,0.848115736,7.157086922,Ol1A
20,16.32115921,,,11,0.000411994,-100,1184.352973,-18.75559856,0.43343473,241616.0657,0.85241463,0.847838921,6.390805347,Ol1A
21,0.436941119,,,12,0.000124467,-100,1222.529703,-18.15908647,0.528704208,211233.7815,0.851702628,0.848027022,8.272265394,Ol1A
22,11.39151421,,,13,3.36018E-05,-100,1195.729325,-19.06528386,0.371670696,233533.8949,0.852232281,0.848180442,2.228413439,Ol1A
23,0.248545106,,,14,8.10607E-06,-100,1218.96718,-18.49611149,0.450654024,198707.7811,0.852470252,0.84814841,4.66870175,Ol1A
24,0.831243558,,,15,1.74743E-06,-100,1211.516102,-18.16572423,0.471565381,191999.6513,0.852154634,0.848087247,0.397228889,Ol1A
25,0.972238857,,,16,3.36612E-07,-100,1212.816016,-18.32320618,0.282526765,212433.3374,0.852193402,0.847985061,1.882725373,Ol1A
26,1.642389208,,,17,5.79432E-08,-100,1198.945754,-18.45990403,0.394505203,201727.7579,0.852270888,0.848141918,0.423667082,Ol1A
27,0.197464861,,,18,8.91282E-09,-100,1201.209497,-18.50229359,0.498921794,207963.6727,0.851819886,0.848070798,5.694030406,Ol1A
