Nested Sampling Global Log-Evidence           :   -0.218044249734299740E+02  +/-    0.108198993558449683E+00

Dim No.       Mean        Sigma
   1    0.193101465080726453E+01    0.301203626035974192E+01
   2    0.120654569666999987E+04    0.138809487335563571E+02
   3   -0.185612415779330071E+02    0.446182981175860860E+00
   4    0.414125989967565000E+00    0.873523257749507370E-01
   5    0.202062512105786562E+06    0.140731381674474414E+05
   6    0.851933789197397706E+00    0.222055091714879019E-03
   7    0.847984087205919890E+00    0.702184157295086093E-04
   8    0.384051558183633812E+01    0.185612143570254484E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.704461676846188989E+00
   2    0.119593764720567378E+04
   3   -0.187107684980241338E+02
   4    0.402896998360670167E+00
   5    0.193752812115839624E+06
   6    0.851929980118839247E+00
   7    0.847977097376681366E+00
   8    0.250727443741636247E+01

MAP Parameters
Dim No.        Parameter
   1    0.704461676846188989E+00
   2    0.119593764720567378E+04
   3   -0.187107684980241338E+02
   4    0.402896998360670167E+00
   5    0.193752812115839624E+06
   6    0.851929980118839247E+00
   7    0.847977097376681366E+00
   8    0.250727443741636247E+01
