,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
0,792.0047629,42.65023394,83.32500189,0,0.004199943,0.004199943,1193.010087,-18.86073053,0.437862901,234393.7088,0.850946478,0.843470301,39.86598643,Ol2B
1,116.0098001,,,2,0.004250636,-100,1209.918763,-18.38169995,0.453603717,205482.7027,0.850828926,0.842135988,21.23720901,Ol2B
2,126.9421983,,,4,0.004299463,-100,1214.782482,-18.27046696,0.328525828,211930.3047,0.85018264,0.842128047,50.64611487,Ol2B
3,81.67128511,,,6,0.004346346,-100,1209.78388,-18.05730278,0.302912527,206011.9104,0.8505887,0.843849653,12.54169134,Ol2B
4,277.6776433,,,8,0.00439121,-100,1200.844002,-18.41137597,0.483720128,227664.4581,0.850057272,0.843530304,39.79425004,Ol2B
5,23.88953668,,,10,0.004433982,-100,1204.176923,-18.04225611,0.418074074,186823.0817,0.850665357,0.842409955,20.49687407,Ol2B
6,218.1512376,,,12,0.004474592,-100,1204.38228,-18.18862306,0.375934591,220116.1274,0.850346881,0.842645696,44.49556035,Ol2B
7,7.991431496,,,14,0.004512973,-100,1219.554613,-18.80352498,0.36825853,185644.5809,0.850296681,0.843218074,46.5321332,Ol2B
8,14.45406694,,,16,0.004549062,-100,1222.829452,-18.86313539,0.449744342,185612.1679,0.85039252,0.842801241,34.45331724,Ol2B
9,6.133792367,,,18,0.004582798,-100,1222.795274,-18.79303486,0.341063395,188991.2474,0.850715872,0.843470354,42.3904726,Ol2B
10,24.64734695,,,20,0.004614125,-100,1193.068603,-19.44718416,0.325054683,194451.3769,0.850674388,0.843249694,36.33927648,Ol2B
11,32.54681666,,,22,0.004642991,-100,1197.111707,-18.28601158,0.509250368,194167.8084,0.850502993,0.842804564,34.92676245,Ol2B
12,9.211267751,,,24,0.004669347,-100,1201.780236,-19.14655604,0.39472058,188002.1804,0.849981289,0.843686522,42.54988441,Ol2B
13,23.11266412,,,26,0.004693148,-100,1204.020006,-18.65247161,0.440071745,203384.4182,0.85090707,0.843554334,40.71412129,Ol2B
14,276.2671258,,,28,0.004714353,-100,1199.22912,-18.72979411,0.405450052,214638.4996,0.850565407,0.842395402,23.29691049,Ol2B
15,18.4017527,,,30,0.004732927,-100,1203.153708,-18.64922454,0.402811452,193275.6068,0.850419124,0.843529452,33.08342358,Ol2B
16,302.361272,,,32,0.004748837,-100,1207.867008,-18.50396086,0.379155451,229797.7172,0.850347127,0.843810854,31.92079148,Ol2B
17,61.86026836,,,34,0.004762056,-100,1210.985576,-19.14762635,0.385218642,200874.1787,0.850241992,0.843568177,18.05064796,Ol2B
18,47.60112308,,,36,0.004772562,-100,1212.12698,-19.34157977,0.524928352,192689.6136,0.850357237,0.842931616,23.2523504,Ol2B
19,7.96917451,,,38,0.004780336,-100,1220.925221,-18.69088157,0.495486491,185969.587,0.850979732,0.843736064,38.19238338,Ol2B
20,14.25350732,,,40,0.004785365,-100,1226.536,-17.52207893,0.451148444,194648.8082,0.850294602,0.84332689,38.10968895,Ol2B
21,24.54885888,,,42,0.00478764,-100,1212.046386,-17.86515289,0.428297575,200883.8898,0.850666556,0.843761542,28.84195909,Ol2B
22,3.648092014,,,44,0.004787158,-100,1220.86984,-18.21124358,0.327927156,175244.6271,0.850259586,0.843282515,44.2703604,Ol2B
23,33.71768881,,,46,0.004783919,-100,1204.53904,-17.99547261,0.519414976,195300.1583,0.850377389,0.843552031,3.939919331,Ol2B
24,320.4498237,,,48,0.004777928,-100,1195.253758,-18.19788423,0.327103697,219655.9045,0.850798911,0.842919228,15.94782758,Ol2B
25,220.5241924,,,50,0.004769197,-100,1185.130478,-18.59837596,0.347344159,214857.6841,0.850714778,0.84331787,10.6674197,Ol2B
26,192.1456293,,,52,0.00475774,-100,1195.814911,-18.92183087,0.411380379,207353.4974,0.850242094,0.842559398,24.54587487,Ol2B
27,21.92265745,,,54,0.004743577,-100,1195.12363,-19.49141541,0.482664588,180059.6151,0.850472513,0.842120834,37.28632047,Ol2B
28,48.90412814,,,56,0.004726732,-100,1195.164403,-18.48297802,0.404032619,201226.2638,0.85022087,0.843430778,34.98592261,Ol2B
29,273.2047441,,,58,0.004707234,-100,1208.807612,-18.87947273,0.0329619,225460.7758,0.850868724,0.843277622,31.69974968,Ol2B
30,11.32141353,,,60,0.004685116,-100,1196.132814,-17.58720034,0.317707442,193765.4394,0.850045723,0.843823779,42.03443807,Ol2B
31,70.15991821,,,62,0.004660417,-100,1190.355062,-18.54862341,0.383447124,201460.0848,0.850377652,0.843263858,36.45113077,Ol2B
32,31.89293417,,,64,0.004633178,-100,1186.100592,-18.09326551,0.494393327,199496.2336,0.85088138,0.843822006,37.55177877,Ol2B
33,15.92893199,,,66,0.004603445,-100,1195.12185,-19.04733023,0.441453842,184130.9647,0.850451385,0.843897477,10.97391411,Ol2B
34,10.43720236,,,68,0.004571269,-100,1217.764207,-18.59764793,0.462105198,196151.395,0.850025456,0.843758425,43.3319182,Ol2B
35,48.73113373,,,70,0.004536703,-100,1205.29314,-18.44208576,0.386922132,202288.1163,0.850694499,0.843628213,17.99980473,Ol2B
36,39.97934005,,,72,0.004499806,-100,1210.963964,-17.82540476,0.423606324,193682.0295,0.850288309,0.84279725,2.297126036,Ol2B
37,2.320062547,,,74,0.004460638,-100,1195.136266,-18.6968978,0.386959535,169462.4927,0.850127332,0.843533437,42.08500632,Ol2B
38,55.31265945,,,76,0.004419264,-100,1205.021202,-18.12333814,0.391212626,194774.5027,0.850545604,0.842256268,1.782702374,Ol2B
39,20.24251591,,,78,0.004375752,-100,1207.825182,-18.34946373,0.381262309,198829.2904,0.850254062,0.843456165,44.69746223,Ol2B
40,147.2590443,,,80,0.004330174,-100,1207.995271,-18.8994445,0.367779187,227713.7203,0.850385457,0.84375617,43.70575344,Ol2B
41,31.71584932,,,82,0.004282602,-100,1210.729554,-18.85648499,0.312170085,191274.574,0.850537621,0.842245612,42.64007141,Ol2B
42,3.854888564,,,84,0.004233113,-100,1228.151295,-18.90462306,0.463603272,180797.5399,0.850318874,0.843484884,44.70178127,Ol2B
43,2.141521445,,,86,0.004181786,-100,1226.399224,-18.99957122,0.446332974,165689.0388,0.850668004,0.843308989,40.9236168,Ol2B
44,8.211320308,,,88,0.004128703,-100,1186.37484,-19.12303755,0.425510927,182757.1949,0.850911718,0.843442121,34.96246644,Ol2B
45,3.631475132,,,90,0.004073945,-100,1228.343958,-18.07881096,0.383731146,180784.8427,0.850206292,0.843452485,43.89952766,Ol2B
46,57.6044621,,,92,0.004017598,-100,1193.694366,-18.22177231,0.265822635,209949.3457,0.850659512,0.843532056,42.88564783,Ol2B
47,3.626841631,,,94,0.003959749,-100,1191.134934,-18.37040238,0.389029844,170685.7748,0.850550454,0.843571274,39.61042266,Ol2B
48,146.0410147,,,96,0.003900485,-100,1205.664768,-18.06745966,0.392403274,221648.1445,0.850499196,0.843878247,39.05517853,Ol2B
49,13.51083535,,,98,0.003839895,-100,1233.622759,-19.11501966,0.528248679,191976.8806,0.850611472,0.843606273,29.94209675,Ol2B
50,16.25594082,,,100,0.003778069,-100,1212.960414,-18.30619665,0.287145906,182809.549,0.850926788,0.842860379,21.96388829,Ol2B
51,11.89397187,,,102,0.003715098,-100,1208.211848,-18.78490025,0.33525582,189744.084,0.850682146,0.843300739,37.97673714,Ol2B
52,154.2158275,,,104,0.003651072,-100,1197.888448,-18.3034853,0.475675979,208370.8379,0.850254498,0.84313597,10.91627592,Ol2B
53,202.1522427,,,106,0.003586083,-100,1225.213263,-19.13140275,0.579583713,219747.3812,0.850411101,0.843021315,35.84070966,Ol2B
54,197.8023602,,,108,0.003520222,-100,1200.298161,-17.92296499,0.345181295,219271.1456,0.850580866,0.843118042,32.61797653,Ol2B
55,20.30110652,,,110,0.00345358,-100,1222.49457,-18.66746023,0.346945345,188825.6437,0.850822438,0.842582888,37.99929567,Ol2B
56,10.12001057,,,112,0.003386249,-100,1212.474661,-18.57436617,0.118676794,185120.7017,0.850909784,0.843110307,39.84440274,Ol2B
57,66.33712864,,,114,0.003318318,-100,1176.304432,-18.60829069,0.442395723,198543.9862,0.850674797,0.842608616,38.74456566,Ol2B
58,34.71169842,,,116,0.003249877,-100,1190.658883,-18.36571516,0.411237021,196063.1709,0.850460529,0.843837523,21.4847535,Ol2B
59,32.40242378,,,118,0.003181014,-100,1225.909031,-18.05364183,0.313902526,202736.9424,0.850935836,0.843105869,37.11578701,Ol2B
60,91.25386048,,,120,0.003111817,-100,1215.571144,-18.11900739,0.383494296,206037.6059,0.850431534,0.842610651,38.62178612,Ol2B
61,15.65578564,,,122,0.003042373,-100,1199.714713,-18.79129663,0.405774607,176896.2077,0.850481105,0.842135472,17.71774764,Ol2B
62,149.1226633,,,124,0.002972765,-100,1177.79803,-18.44917196,0.241875745,213885.1903,0.850616902,0.843606958,38.70214911,Ol2B
63,18.37257276,,,126,0.002903076,-100,1210.125658,-18.55386632,0.370451618,186313.3052,0.850881072,0.843531522,20.00370376,Ol2B
64,29.73482296,,,128,0.002833388,-100,1191.986021,-18.39969528,0.380861868,193251.5853,0.850310162,0.843160652,35.37659788,Ol2B
65,3.079545787,,,130,0.002763781,-100,1192.701567,-18.81073351,0.373356045,174052.3668,0.850681395,0.84367703,34.02385618,Ol2B
66,83.1970944,,,132,0.00269433,-100,1209.172482,-18.05392287,0.448523345,215830.1165,0.850376333,0.843605985,43.13994611,Ol2B
67,81.81189784,,,134,0.002625113,-100,1237.564059,-18.16216104,0.313248054,212307.1029,0.850428141,0.8433944,25.84101193,Ol2B
68,243.5962601,,,136,0.0025562,-100,1200.86444,-18.33643354,0.547855153,224064.0021,0.850750154,0.843155289,37.27602329,Ol2B
69,131.8349756,,,138,0.002487663,-100,1221.2475,-18.31632588,0.458108458,208770.4496,0.850587132,0.842939632,19.46999065,Ol2B
70,150.9940028,,,140,0.002419569,-100,1207.863952,-18.85339739,0.400376928,215598.2492,0.850543458,0.843512256,25.02349489,Ol2B
71,8.909561938,,,142,0.002351983,-100,1195.678227,-18.55717469,0.420159164,189810.4577,0.850946856,0.84390208,31.7775781,Ol2B
72,9.70792764,,,144,0.002284969,-100,1200.33314,-18.39335783,0.354475016,175864.2533,0.85088654,0.84329536,15.59476273,Ol2B
73,17.65226526,,,146,0.002218585,-100,1186.189725,-18.88673707,0.421320833,187674.3615,0.850679583,0.843710785,35.63781063,Ol2B
74,323.665715,,,148,0.00215289,-100,1227.299616,-18.87338089,0.352935523,223028.2663,0.850983193,0.842678047,30.29088869,Ol2B
75,214.3485334,,,150,0.002087936,-100,1212.978883,-18.24600584,0.322621163,217783.5429,0.850351039,0.843063948,35.55199832,Ol2B
76,438.9782126,,,152,0.002023776,-100,1171.700373,-18.67908361,0.459881655,219910.1016,0.850494154,0.843343169,12.02939563,Ol2B
77,25.68205349,,,154,0.001960458,-100,1239.962622,-18.2248246,0.374688965,198011.2948,0.850339191,0.842965288,40.21035665,Ol2B
78,6.430027096,,,156,0.001898027,-100,1187.517085,-18.78373119,0.434581585,179440.1988,0.85066255,0.843360356,36.95892575,Ol2B
79,619.196328,,,158,0.001836526,-100,1211.733165,-18.10893475,0.36281223,231536.5275,0.850423393,0.843611118,21.90824671,Ol2B
80,6.54565072,,,160,0.001775994,-100,1213.041804,-18.79752871,0.485916838,184853.8105,0.850837214,0.8437038,32.01256336,Ol2B
81,175.6447538,,,162,0.001716468,-100,1199.652884,-18.97838466,0.474529896,213731.3826,0.85080596,0.843299839,16.5047541,Ol2B
82,3.320901274,,,164,0.001657982,-100,1190.700367,-18.46342325,0.409227103,167696.5354,0.850535701,0.843428055,28.32889613,Ol2B
83,45.29728906,,,166,0.001600566,-100,1208.51827,-18.42731221,0.315855185,203255.1365,0.85069374,0.843166011,41.74068474,Ol2B
84,23.60840119,,,168,0.001544248,-100,1181.035357,-18.76532072,0.524234685,190401.3484,0.850482269,0.843875349,25.6818463,Ol2B
85,12.11596764,,,170,0.001489054,-100,1202.055304,-19.05027758,0.498284266,188268.0246,0.850546505,0.843408326,43.24089954,Ol2B
86,61.82877941,,,,,,1205.189259,-18.0176157,0.411467853,199625.0982,0.850852406,0.842796052,1.241636703,Ol2B
87,68.54544949,,,,,,1223.539613,-18.49696548,0.548350035,203719.7686,0.850323439,0.843315382,17.12487868,Ol2B
88,38.91870217,,,,,,1197.490607,-17.94851026,0.321250187,207474.0715,0.850637535,0.843416007,40.5683223,Ol2B
89,99.42959837,,,,,,1217.703635,-19.07580928,0.353628665,204512.7462,0.850615556,0.843265742,13.19867482,Ol2B
90,10.34888917,,,,,,1199.999564,-18.47356824,0.326043505,178670.4121,0.85089913,0.842906081,34.56084892,Ol2B
91,45.64124213,,,,,,1192.166405,-18.34442587,0.472998543,195440.7016,0.850653189,0.842838125,27.36601642,Ol2B
92,750.5715444,,,,,,1206.136946,-18.95705104,0.414409531,243592.2271,0.850846386,0.843543417,40.94250431,Ol2B
93,23.02868384,,,,,,1194.153576,-19.04229323,0.366902643,187525.8355,0.850346444,0.843231185,29.18055468,Ol2B
94,36.67803373,,,,,,1219.270571,-19.32092771,0.343794122,198990.4158,0.850917153,0.843140707,31.69103787,Ol2B
95,3.730599812,,,,,,1222.414821,-18.3076998,0.554692596,184351.182,0.8505953,0.843742334,36.8977413,Ol2B
96,172.3124544,,,,,,1196.156757,-18.72065938,0.4887137,208153.2091,0.85032248,0.84287665,22.3483023,Ol2B
97,370.6699716,,,,,,1201.123455,-18.35566054,0.488126462,217299.2907,0.85035385,0.842376732,23.54041685,Ol2B
98,224.9288903,,,,,,1184.167287,-18.26302912,0.425441046,213639.1112,0.85061604,0.843536667,19.94213513,Ol2B
99,268.8410731,,,,,,1194.310547,-18.11823519,0.346335093,225795.8231,0.850817505,0.843968781,23.67219311,Ol2B
100,33.86321228,,,,,,1210.424118,-19.28466504,0.563603758,192111.3022,0.850437615,0.843229997,30.76646148,Ol2B
101,146.0153087,,,,,,1223.017306,-18.18946259,0.365982516,219079.9658,0.850837942,0.843543649,20.49594805,Ol2B
102,4.52354068,,,,,,1223.09312,-18.70326557,0.450271483,172129.9755,0.850426474,0.843032087,33.56947455,Ol2B
103,69.6192324,,,,,,1202.257443,-17.74575286,0.440630842,199317.4587,0.850654571,0.842499453,13.1927981,Ol2B
104,306.0360676,,,,,,1214.727712,-18.33205733,0.476190956,218339.7427,0.850479455,0.842549961,19.55445465,Ol2B
105,130.5063736,,,,,,1182.390176,-18.75584403,0.32308868,203165.31,0.850389081,0.842874829,10.44422732,Ol2B
106,304.3527098,,,,,,1189.820582,-17.94612933,0.383234739,219820.7449,0.850846313,0.843652537,18.68404868,Ol2B
107,173.0843062,,,,,,1203.844602,-17.52038372,0.506947162,212747.3338,0.850705177,0.842383785,35.44592114,Ol2B
108,4.593569759,,,,,,1225.053921,-18.52114514,0.332528267,178582.0343,0.850684276,0.84341286,41.43248187,Ol2B
109,37.70039945,,,,,,1205.105578,-19.00169171,0.380826322,199558.0906,0.850531885,0.843709383,36.20365871,Ol2B
110,68.46607234,,,,,,1207.050463,-18.24248437,0.332275294,202351.5863,0.850928194,0.843532321,12.7752851,Ol2B
111,37.82801029,,,,,,1187.660938,-18.39776784,0.475826158,192464.6128,0.850348138,0.843358303,25.56669638,Ol2B
112,51.09159007,,,,,,1201.198774,-18.27736213,0.402791093,204639.7896,0.850558841,0.843645502,38.07740381,Ol2B
113,18.87425737,,,,,,1197.906822,-18.14360771,0.271587332,195805.7201,0.850854775,0.843566206,40.49512194,Ol2B
114,1.073105429,,,,,,1208.280288,-18.46218454,0.52026008,160032.5903,0.850413804,0.843548459,42.27776934,Ol2B
115,57.54621389,,,,,,1208.08417,-18.98325159,0.39250648,195949.5427,0.850868928,0.842498435,26.07192076,Ol2B
116,33.32537777,,,,,,1193.867369,-19.07138787,0.407802534,190916.4616,0.850600818,0.843201114,16.23002753,Ol2B
117,6.244830887,,,,,,1196.380825,-18.3862495,0.371354384,191204.6344,0.850331692,0.843883064,40.99080005,Ol2B
118,447.2078446,,,,,,1180.251044,-18.40850681,0.35561291,225193.2698,0.850458814,0.843114076,36.00611372,Ol2B
119,7.320850535,,,,,,1204.780013,-18.37559659,0.382556124,181200.4158,0.850877419,0.843153938,38.16862294,Ol2B
120,4.854272902,,,,,,1203.077196,-18.74108188,0.420799889,174780.1251,0.850956564,0.843340129,30.42463512,Ol2B
121,15.30827002,,,,,,1204.525913,-18.62509266,0.357273294,196472.9122,0.850213234,0.843663553,43.24072748,Ol2B
122,18.39689895,,,,,,1202.170715,-18.41355609,0.331364758,196047.032,0.850806134,0.843688573,40.0844738,Ol2B
123,165.8992066,,,,,,1206.30999,-18.08672437,0.561542789,210585.5454,0.850341146,0.842975535,19.52025623,Ol2B
124,2.551680759,,,,,,1203.54784,-18.47263202,0.429712161,165784.963,0.850592798,0.843671907,33.52014963,Ol2B
125,146.0879033,,,,,,1209.165915,-18.90926251,0.528973149,204793.9654,0.850397847,0.842294454,13.62161069,Ol2B
126,14.19784511,,,,,,1205.40201,-17.87908814,0.354567434,188213.8661,0.850911301,0.843737107,5.872206313,Ol2B
127,4.117560813,,,,,,1199.355242,-18.40808667,0.345731392,175484.4479,0.850487785,0.843948564,31.35335373,Ol2B
128,47.96084819,,,,,,1197.230141,-19.71388633,0.406246291,191024.4793,0.850348893,0.843039799,17.86868099,Ol2B
129,70.75926158,,,,,,1201.750695,-18.34751856,0.540269742,197568.4355,0.850791118,0.842469757,21.44596066,Ol2B
130,39.65237318,,,,,,1209.710363,-19.13949658,0.555754706,202402.2908,0.850349515,0.843599367,35.42359553,Ol2B
131,12.55081177,,,,,,1213.591772,-19.21582327,0.3225728,185910.2299,0.850815731,0.843058968,38.11192437,Ol2B
132,35.40998852,,,,,,1208.279694,-18.81097002,0.302321826,195639.2149,0.850475689,0.843760053,17.04041573,Ol2B
133,77.92277889,,,,,,1195.401682,-17.32882445,0.377779819,206475.4609,0.850663116,0.843905835,3.136185094,Ol2B
134,143.0926722,,,,,,1196.627923,-19.52668214,0.463942125,206976.1745,0.850563077,0.843125046,10.95791211,Ol2B
135,82.97304281,,,,,,1200.766163,-18.3108234,0.411520494,206727.7464,0.850437696,0.843682873,21.46431093,Ol2B
136,17.71453349,,,,,,1226.529179,-18.68344002,0.467498327,186081.7313,0.850387657,0.843081155,17.67914942,Ol2B
137,13.75179426,,,,,,1218.772149,-18.8924975,0.283529534,200935.8256,0.850687349,0.843762163,38.50637292,Ol2B
138,22.42789143,,,,,,1171.625321,-18.75921923,0.549006202,187228.7276,0.850421386,0.843397574,30.87462523,Ol2B
