,XFo
0,0.8509964029357174
1,0.8497608103359656
2,0.8484065015528781
3,0.8469095352578624
4,0.8452289382725854
5,0.8434910060814937
6,0.8418233697333452
7,0.8403801207492456
8,0.8391841308474947
9,0.8383002877696297
10,0.8377023572228421
11,0.8373343032720163
12,0.8371437422654606
13,0.8370903951691487
14,0.8371559024399446
15,0.837353675880016
16,0.8377190738668552
17,0.8383019513980685
18,0.8391114041219037
19,0.8401818877901938
20,0.841468129485401
21,0.842885699440733
22,0.8443007179024568
23,0.8455896450286481
24,0.8466462422921021
25,0.8474619777898287
26,0.8480238789647013
27,0.8483697246939088
28,0.8485655074677342
29,0.8486644800171916
30,0.8487113857992274
31,0.8487306763056216
32,0.8487356528479264
