Nested Sampling Global Log-Evidence           :   -0.421022642761739476E+02  +/-    0.187031492304193275E+00

Dim No.       Mean        Sigma
   1    0.818186217841955776E+00    0.146391306899799423E+01
   2    0.196799341948933169E+02    0.182369679339615658E+02
   3    0.118639814960238846E+04    0.142881612485340437E+02
   4    0.120551043482297268E+04    0.135932439163410290E+02
   5   -0.187056458158724617E+02    0.462640328787533195E+00
   6    0.398847099188348264E+00    0.953444825269985224E-01
   7    0.208998958235059312E+06    0.118937138122043343E+05
   8    0.848863681701633510E+00    0.169139594307814829E-03
   9    0.836638362196709728E+00    0.261105881797259968E-03
  10    0.850977280340759146E+00    0.270583305558483864E-03
  11    0.119776725730046195E+03    0.937262218200781261E+00
  12    0.316384549439196121E+02    0.909567002685908510E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.190534959346509658E+00
   2    0.309478365414469430E+02
   3    0.119613442389087913E+04
   4    0.119222429664432048E+04
   5   -0.183209231955544389E+02
   6    0.348340204577094859E+00
   7    0.219807746307447844E+06
   8    0.848743371680822256E+00
   9    0.836886314387167540E+00
  10    0.850996402935717433E+00
  11    0.120375901174914617E+03
  12    0.312160151208929406E+02

MAP Parameters
Dim No.        Parameter
   1    0.190534959346509658E+00
   2    0.309478365414469430E+02
   3    0.119613442389087913E+04
   4    0.119222429664432048E+04
   5   -0.183209231955544389E+02
   6    0.348340204577094859E+00
   7    0.219807746307447844E+06
   8    0.848743371680822256E+00
   9    0.836886314387167540E+00
  10    0.850996402935717433E+00
  11    0.120375901174914617E+03
  12    0.312160151208929406E+02
