,XFo
0,0.8589382171819184
1,0.8605248977767028
2,0.8621319745311206
3,0.8636220170387139
4,0.8648868632123901
5,0.8657785524662903
6,0.8663326884940116
7,0.8666807246180463
8,0.8669332202747463
9,0.8671503867287724
10,0.8673596176085989
11,0.8675662037281907
12,0.867766113289308
13,0.8679696215922513
14,0.8683706454225281
15,0.8685685087089661
16,0.8687652985078738
17,0.8689572971628816
18,0.8691484043616227
19,0.869334374424192
20,0.8695182102405531
21,0.8697016985717937
22,0.8698813359636544
23,0.8700557649448676
24,0.8702289219729682
25,0.8703983455049937
26,0.8705618953017016
27,0.8707213228699845
28,0.8708783429558477
29,0.8710301986915105
30,0.8711788365400002
31,0.8713228702472166
32,0.8714608458121591
33,0.8715954382318071
34,0.8717250806729525
35,0.8718462702472974
36,0.8719651790937751
37,0.8720791426070256
38,0.8721865959587745
39,0.8722890899117184
40,0.8724752227035326
41,0.8725606801413084
42,0.872640234039533
43,0.8727128162008889
44,0.8727801917470185
45,0.8728413418517077
46,0.8728956046194054
47,0.8729440931469897
48,0.8729862675341545
49,0.8730215979111988
50,0.8730508509091929
51,0.8730733070391088
52,0.8730894999827279
53,0.8730993629274044
54,0.8731026771894531
