Nested Sampling Global Log-Evidence           :   -0.420538369006015884E+02  +/-    0.168377384681067388E+00

Dim No.       Mean        Sigma
   1    0.290959748352700353E+04    0.206763239831012788E+04
   2    0.591092687097351099E+01    0.488563137653258117E+01
   3    0.123042384247156133E+04    0.109611613227359737E+02
   4    0.120829688550178139E+04    0.129353095398797464E+02
   5   -0.183050693086696974E+02    0.384257319722303869E+00
   6    0.744582142232545041E+00    0.934375490276760784E-01
   7    0.202903577938397968E+06    0.855508484138855965E+04
   8    0.894995638874361510E+00    0.518853725316682286E-04
   9    0.865582657224594043E+00    0.183613624098830807E-03
  10    0.858732057089229839E+00    0.185838418803151709E-03
  11    0.652323473231759721E+02    0.180259976599517238E+02
  12    0.134501610336647932E+02    0.297156647375219896E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.917707223107520690E+03
   2    0.124243570892418420E+01
   3    0.123837185825555616E+04
   4    0.121334259166705260E+04
   5   -0.178284319961773932E+02
   6    0.625836333245107013E+00
   7    0.193606178984653990E+06
   8    0.894918895708851303E+00
   9    0.865704399024094684E+00
  10    0.858938217181918429E+00
  11    0.627845969766334662E+02
  12    0.162015999848154983E+02

MAP Parameters
Dim No.        Parameter
   1    0.917707223107520690E+03
   2    0.124243570892418420E+01
   3    0.123837185825555616E+04
   4    0.121334259166705260E+04
   5   -0.178284319961773932E+02
   6    0.625836333245107013E+00
   7    0.193606178984653990E+06
   8    0.894918895708851303E+00
   9    0.865704399024094684E+00
  10    0.858938217181918429E+00
  11    0.627845969766334662E+02
  12    0.162015999848154983E+02
