,"Pressure_bars","P_MPa","H2O_liq","CO2_liq","XH2O_fl","XCO2_fl","FluidProportion_wt"
245,740,74,0.593163953371439,0.047824895278861,0.100801100310242,0.899198899689758,0.180165995288562
246,730,73,0.593035042645905,0.047131777315553,0.101962334814401,0.898037665185599,0.18099182967899
247,720,72,0.592902498136841,0.046438490650575,0.103152543668132,0.896847456331868,0.181821470399266
248,710,71,0.592766160754304,0.045745032957231,0.104372894904613,0.895627105095387,0.182655079416423
249,700,70,0.592625861825235,0.045051402033809,0.105624620906292,0.894375379093708,0.183492828187118
250,690,69,0.592481422354618,0.044357595793884,0.106909022942355,0.893090977057645,0.184334898408632
251,680,68,0.592332652223297,0.043663612274353,0.108227476036143,0.891772523963857,0.185181482815599
252,670,67,0.592179349310719,0.04296944965583,0.109581434247447,0.890418565752553,0.186032786039668
253,660,66,0.592021298532402,0.042275106270824,0.110972436418174,0.889027563581826,0.186889025566918
254,650,65,0.591858270785229,0.04158058061957,0.112402112409788,0.887597887590212,0.187750432780115
255,640,64,0.591690021786464,0.040885871386199,0.113872189916334,0.886127810083666,0.188617254107186
256,630,63,0.591516290797412,0.040190977456162,0.115384501878518,0.884615498121482,0.189489752284202
257,620,62,0.591336799214758,0.03949589793769,0.116940994598129,0.883059005401871,0.190368207747005
258,610,61,0.591151249021699,0.03880063218339,0.11854373654077,0.88145626345923,0.19125292016334
259,600,60,0.590959321052026,0.038105179796432,0.120194928205673,0.879805071794327,0.192144210168147
260,590,59,0.590760673116652,0.03740954069792,0.121896912456651,0.878103087543349,0.193042421175279
261,580,58,0.590554937862653,0.036713715112872,0.123652186465685,0.876347813534315,0.19394792153939
262,570,57,0.590341720437066,0.036017703624029,0.125463414418874,0.874536585581126,0.194861106845463
263,560,56,0.590120595876284,0.035321507203064,0.127333441581561,0.872666558418438,0.195782402496286
264,550,55,0.589891106172526,0.034625127249769,0.129265310013012,0.870734689986988,0.196712266615856
265,540,54,0.589652757026663,0.033928565638942,0.131262275587213,0.868737724412787,0.197651193259589
266,530,53,0.589405014183385,0.033231824764765,0.133327827080613,0.866672172919387,0.198599716046
