,P_MPa,H2O_liq,H2O_MI
0,74.0,0.495386623403255,0.495386623403255
1,73.0,0.495299098988961,0.4954677801293635
2,72.0,0.495209143373191,0.49552805669144906
3,71.0,0.495116652279378,0.4955697104454477
4,70.0,0.495021515264268,0.49559470843475983
5,69.0,0.49492361525447,0.4956047622377302
6,68.0,0.494822828040615,0.49560135847785347
7,67.0,0.49471902172528,0.4955857855236429
8,66.0,0.494612056114813,0.49555915683955254
9,65.0,0.494501782062963,0.4955224313926561
10,64.0,0.494388040737346,0.4954764314686694
11,63.0,0.494270662823564,0.4954218582068021
12,62.0,0.494149467644617,0.49535930512432597
13,61.0,0.494024262192273,0.49528926986698996
14,60.0,0.493894840056645,0.4952121643913364
15,59.0,0.493760980242861,0.49512832375816374
16,58.0,0.49362244586096,0.49503801369282624
17,57.0,0.493478982671528,0.4949414370470178
18,56.0,0.493330317469463,0.4948387392779919
19,55.0,0.493176156284747,0.4947300130445495
20,54.0,0.493016182372094,0.494615302003873
21,53.0,0.492850053968119,0.4944946038799519
22,52.0,0.492677401775476,0.4943678728617815
23,51.0,0.492497826135281,0.49423502137750486
24,50.0,0.49231089385053,0.49409592128034635
25,49.0,0.492116134604179,0.49395040447194755
26,48.0,0.491913036900555,0.4937982629776635
27,47.0,0.491701043474712,0.49363924847887625
28,46.0,0.491479546064175,0.4934730712966563
29,45.0,0.491247879471996,0.4932993988110879
30,44.0,0.49100531474729,0.49311785328703295
31,43.0,0.490751051405808,0.49292800906563733
32,42.0,0.490484208456185,0.49272938906608194
33,41.0,0.490203814074889,0.4925214605251589
34,40.0,0.489908793621058,0.4923036298818967
35,39.0,0.489597955753186,0.49207523669251924
36,38.0,0.489269976188542,0.4918355464313799
37,37.0,0.488923378793644,0.4915837420044267
38,36.0,0.488556513224489,0.4913189137540078
39,35.0,0.4881675286547,0.4910400476858285
40,34.0,0.487754342530328,0.4907460115859106
41,33.0,0.487314603420181,0.4904355386142318
42,32.0,0.486845646473946,0.4901072078615538
43,31.0,0.486344439820339,0.4897594212243067
44,30.0,0.485807519665291,0.4893903757891158
45,29.0,0.485230911235071,0.48899803070214654
46,28.0,0.484610031908661,0.4885800672208619
47,27.0,0.483939571580552,0.4881338402709459
48,26.0,0.483213344105337,0.48765631934954945
49,25.0,0.482424101108814,0.48714401595712836
50,24.0,0.481563296978489,0.48659289385282123
51,23.0,0.480620789504324,0.48599825722361567
52,22.0,0.479584455075706,0.4853546101868914
53,21.0,0.478439689021738,0.484655478715953
54,20.0,0.477168750206116,0.4838931828048616
55,19.0,0.475749891028065,0.48305854198213116
56,18.0,0.474156189129483,0.4821404904948542
57,17.0,0.472353957849829,0.4811255685318135
58,16.0,0.47030055398477,0.47999724103792957
59,15.0,0.467941310538803,0.4787349733652368
60,14.0,0.465205180473993,0.4773129589389668
61,13.0,0.46199845428849,0.47569834147985646
62,12.0,0.458195561382179,0.47384869222101295
63,11.0,0.453625409988255,0.47170837390847214
64,10.0,0.448050865953531,0.46920322267169945
65,9.0,0.441137726134398,0.4662326722052891
66,8.0,0.43240795483696,0.46265800026757015
67,7.0,0.421170574905689,0.45828480628134
68,6.0,0.406424138962151,0.452837283589294
69,5.0,0.386729483313111,0.44592171508741174
70,4.0,0.360053758794867,0.43697692715789277
71,3.0,0.323527780171187,0.42520597676586963
72,2.0,0.272690177686074,0.4094527910012878
73,1.0,0.197745058650064,0.38780547585988395
74,0.5,0.141187721878248,0.37391147625260285
75,0.1,0.063516469443982,0.36000121919493405
