"Label","Phase","SiO2","TiO2","Al2O3","Fe2O3","FeO","MnO","MgO","CaO","Na2O","K2O","H2O","H2O_err","CO2","Temp","MI_radius","MI_radius_err"
"SW_7_2_1","Ol",51.53,2.42,13.53,1.85,7.57,0.15,9.4,10.8,2.22,0.4,0.43,0.01,0.0017,1203,89,10
"SW_7_3_1","Ol",50.63,2.36,13,2.19,8.99,0.17,9.61,10.32,2.13,0.42,0.41,0.01,0.0177,1207,56.5,10
"SW_7_3_2","Ol",50.59,2.27,13.02,2.2,9.04,0.16,9.65,10.4,2.09,0.41,0.41,0.01,0.018,1208,60,10
"SW_7_4_1","Ol",50.66,2.39,12.87,2.17,8.88,0.15,9.63,10.56,2.1,0.4,0.45,0.01,0.0304,1208,75,10
"SW_7_6_1","Ol",50.58,2.31,12.69,2.21,9.07,0.15,9.84,10.58,2.05,0.39,0.39,0.01,0.0093,1212,42.5,10
"SW_7_7_1","Ol",50.7,2.46,12.89,2.2,9.01,0.17,9.47,10.55,1.99,0.42,0.51,0.01,0.0062,1204,67.5,10
"SW_7_8_1","Ol",50.62,2.34,12.7,2.19,8.99,0.15,10.13,10.31,1.95,0.38,0.48,0.01,0.0046,1218,72.5,10
"SW_7_10_1","Ol",51.18,2.39,13.27,1.94,7.96,0.14,9.88,10.58,2.12,0.43,0.45,0.01,0.003,1213,120,10
"K97_23_1_1_1","Ol",50.65,2.18,12.7,2.17,8.91,0.17,10.5,10.28,2,0.32,0.47,0.01,0.0137,1225,115,10
"K97_23_4_1","Ol",50.96,2.42,13.19,1.95,7.98,0.13,9.32,11.29,2.19,0.41,0.4,0.01,0.001,1201,61,10
"K97_23_5_1","Ol",51.06,2.32,13.29,1.87,7.67,0.13,10.52,10.44,2.16,0.35,0.41,0.01,0.0042,1225,99,10
"K97_23_8_1","Ol",50.55,2.33,12.78,2.17,8.89,0.14,10.38,10.25,2.03,0.38,0.39,0.01,0.001,1223,50,10
"K97_23_10_1","Ol",51.56,2.66,13.94,1.7,6.97,0.15,9.35,10.88,2.2,0.38,0.36,0.01,0.001,1202,61,10
"K97_23_16_1","Ol",51.28,2.38,13.59,1.88,7.7,0.12,9.34,10.81,2.25,0.39,0.49,0.01,0.0025,1202,142.5,10
"K97_23_16_2","Ol",51.4,2.45,13.61,1.86,7.61,0.15,9.27,10.74,2.26,0.41,0.49,0.01,0.0092,1200,101.5,10
"K97_23_16_3","Ol",51.33,2.44,13.34,1.92,7.85,0.13,9.47,10.74,2.17,0.41,0.41,0.01,0.0119,1204,91.5,10
"K97_23_17_1","Ol",51.25,2.32,13.11,1.86,7.63,0.15,10.33,10.66,2.14,0.41,0.43,0.01,0.0064,1222,90,10
"K97_23_15_1","Ol",49.96,2.24,12.87,2.48,10.15,0.17,9.11,10.28,1.83,0.79,0.46,0.02,0.0216,1210,115,10
