Nested Sampling Global Log-Evidence           :   -0.242571175423547603E+01  +/-    0.567272999204036857E-01

Dim No.       Mean        Sigma
   1    0.253596805824129357E+00    0.110550946556303464E+01
   2    0.121036706773298465E+04    0.130477426337874451E+02
   3    0.890636544186525258E-03    0.922406457896214155E-04
   4    0.115064579099253152E+03    0.976208879885806624E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.223698606266362022E-03
   2    0.119879006162199585E+04
   3    0.808524975543342857E-03
   4    0.115842803618823211E+03

MAP Parameters
Dim No.        Parameter
   1    0.371354722269914893E-03
   2    0.117719878686493348E+04
   3    0.945551497968809837E-03
   4    0.115514305995247980E+03
